ID_MOEDA; DATA_REF; vlr_cotacao
AFN; 08/02/2010 00:00:00; 2,396912813
AFN; 22/01/2010 00:00:00; 3,462006867
AFN; 29/07/2010 00:00:00; 7,652906358
AFN; 02/03/2010 00:00:00; 3,700180292
AFN; 03/06/2010 00:00:00; 7,557199895
AFN; 27/05/2010 00:00:00; 6,006370425
AFN; 16/08/2010 00:00:00; 4,61812228
AFN; 19/01/2010 00:00:00; 3,370904565
AFN; 12/01/2010 00:00:00; 2,256034672
AFN; 18/06/2010 00:00:00; 5,066969752
AFN; 25/05/2010 00:00:00; 7,889967442
AFN; 30/08/2010 00:00:00; 7,57549721
AFN; 23/07/2010 00:00:00; 5,057885349
AFN; 20/04/2010 00:00:00; 3,709461629
AFN; 02/09/2010 00:00:00; 5,446123123
AFN; 19/03/2010 00:00:00; 4,720276654
AFN; 23/03/2010 00:00:00; 3,256619155
AFN; 30/09/2010 00:00:00; 7,397604704
AFN; 20/08/2010 00:00:00; 7,496941507
AFN; 01/04/2010 00:00:00; 2,595968604
AFN; 23/08/2010 00:00:00; 2,940134525
AFN; 01/10/2010 00:00:00; 3,393235266
AFN; 30/11/2010 00:00:00; 1,883211553
AFN; 04/03/2010 00:00:00; 2,905219674
AFN; 23/06/2010 00:00:00; 6,61526829
AFN; 21/01/2010 00:00:00; 6,054775238
AFN; 14/04/2010 00:00:00; 4,36797303
AFN; 25/02/2010 00:00:00; 1,252927601
AFN; 03/05/2010 00:00:00; 2,255813122
AFN; 10/05/2010 00:00:00; 1,046262324
AFN; 16/07/2010 00:00:00; 1,258653283
AFN; 29/01/2010 00:00:00; 6,319172978
AFN; 10/02/2010 00:00:00; 5,982452989
AFN; 16/02/2010 00:00:00; 5,442055106
AFN; 15/09/2010 00:00:00; 3,134606183
AFN; 12/03/2010 00:00:00; 7,081008673
AFN; 28/10/2010 00:00:00; 2,982612133
AFN; 15/11/2010 00:00:00; 5,669300795
AFN; 03/08/2010 00:00:00; 4,558346629
AFN; 31/03/2010 00:00:00; 3,70521003
AFN; 30/06/2010 00:00:00; 3,532945991
AFN; 20/10/2010 00:00:00; 5,061559081
AFN; 21/10/2010 00:00:00; 1,776982486
